long,lat,group,order,region,subregion
-87.46200562,30.38968086,1,1,alabama,NA
-87.48493195,30.37249184,1,2,alabama,NA
-87.52503204,30.37249184,1,3,alabama,NA
-87.53076172,30.33238602,1,4,alabama,NA
-87.57086945,30.32665443,1,5,alabama,NA
-87.58805847,30.32665443,1,6,alabama,NA
-87.59378815,30.30946732,1,7,alabama,NA
-87.59378815,30.28654861,1,8,alabama,NA
-87.6740036,30.27508926,1,9,alabama,NA
-87.81151581,30.25790215,1,10,alabama,NA
-87.88026428,30.24644089,1,11,alabama,NA
-87.92037201,30.24644089,1,12,alabama,NA
-87.95475006,30.24644089,1,13,alabama,NA
-88.00631714,30.24071312,1,14,alabama,NA
-88.01777649,30.25217056,1,15,alabama,NA
-88.01204681,30.26935959,1,16,alabama,NA
-87.99485779,30.27508926,1,17,alabama,NA
-87.95475006,30.27508926,1,18,alabama,NA
-87.90318298,30.28082085,1,19,alabama,NA
-87.8286972,30.28654861,1,20,alabama,NA
-87.80005646,30.28654861,1,21,alabama,NA
-87.80005646,30.32665443,1,22,alabama,NA
-87.81723785,30.34384537,1,23,alabama,NA
-87.84015656,30.38395309,1,24,alabama,NA
-87.85162354,30.40114212,1,25,alabama,NA
-87.87453461,30.41259956,1,26,alabama,NA
-87.90318298,30.42406082,1,27,alabama,NA
-87.92610168,30.44697952,1,28,alabama,NA
-87.93183136,30.49281311,1,29,alabama,NA
-87.94329071,30.52719307,1,30,alabama,NA
-87.92037201,30.56156921,1,31,alabama,NA
-87.91464233,30.58448792,1,32,alabama,NA
-87.92610168,30.61886406,1,33,alabama,NA
-87.92037201,30.67043114,1,34,alabama,NA
-87.94902039,30.69907761,1,35,alabama,NA
-87.98912811,30.79075241,1,36,alabama,NA
-88.00631714,30.79648209,1,37,alabama,NA
-88.01777649,30.80220985,1,38,alabama,NA
-88.03496552,30.79075241,1,39,alabama,NA
-88.04642487,30.75637627,1,40,alabama,NA
-88.05215454,30.72772598,1,41,alabama,NA
-88.05215454,30.71053886,1,42,alabama,NA
-88.06360626,30.68762016,1,43,alabama,NA
-88.06934357,30.68188858,1,44,alabama,NA
-88.08080292,30.63032532,1,45,alabama,NA
-88.08080292,30.61313629,1,46,alabama,NA
-88.09799194,30.60740662,1,47,alabama,NA
-88.10944366,30.59594536,1,48,alabama,NA
-88.11518097,30.58448792,1,49,alabama,NA
-88.10944366,30.55583763,1,50,alabama,NA
-88.12091064,30.48135567,1,51,alabama,NA
-88.12091064,30.44124794,1,52,alabama,NA
-88.12664032,30.38968086,1,53,alabama,NA
-88.13237,30.36103439,1,54,alabama,NA
-88.14382935,30.34384537,1,55,alabama,NA
-88.16101837,30.33811569,1,56,alabama,NA
-88.17247772,30.33811569,1,57,alabama,NA
-88.18965912,30.35530472,1,58,alabama,NA
-88.2240448,30.37822342,1,59,alabama,NA
-88.23549652,30.39541054,1,60,alabama,NA
-88.2870636,30.40114212,1,61,alabama,NA
-88.31571198,30.40114212,1,62,alabama,NA
-88.332901,30.40114212,1,63,alabama,NA
-88.35009766,30.42406082,1,64,alabama,NA
-88.39020538,30.41259956,1,65,alabama,NA
-88.40738678,30.73345757,1,66,alabama,NA
