STATE OR COUNTRY NAME,funding_sum,region
ALABAMA,1312616741,alabama
ALASKA,55308495,alaska
ARIZONA,827581277,arizona
ARKANSAS,290299730,arkansas
CALIFORNIA,17378720146,california
COLORADO,1619848566,colorado
CONNECTICUT,2357221658,connecticut
DELAWARE,184566684,delaware
DIST OF COL,976176037,dist of col
FLORIDA,2463694112,florida
GEORGIA,2410884354,georgia
GUAM,2643972,guam
HAWAII,250183789,hawaii
IDAHO,52465300,idaho
ILLINOIS,3822257521,illinois
INDIANA,1037059116,indiana
IOWA,856844219,iowa
KANSAS,468806437,kansas
KENTUCKY,771513306,kentucky
LOUISIANA,702689176,louisiana
MAINE,378631895,maine
MARYLAND,6957019485,maryland
MASSACHUSETTS,12307867167,massachusetts
MICHIGAN,3071624755,michigan
MINNESOTA,2504503783,minnesota
MISSISSIPPI,218642593,mississippi
MISSOURI,2337806574,missouri
MONTANA,153970385,montana
NEBRASKA,462156139,nebraska
NEVADA,128106189,nevada
NEW HAMPSHIRE,483900320,new hampshire
NEW JERSEY,1190763495,new jersey
NEW MEXICO,477942426,new mexico
NEW YORK,10311226220,new york
NORTH CAROLINA,5300106649,north carolina
NORTH DAKOTA,85446719,north dakota
OHIO,3430327112,ohio
OKLAHOMA,437899168,oklahoma
OREGON,1455677924,oregon
PENNSYLVANIA,7415554283,pennsylvania
PUERTO RICO,191558432,puerto rico
RHODE ISLAND,709364787,rhode island
SOUTH CAROLINA,733816053,south carolina
SOUTH DAKOTA,105653269,south dakota
TENNESSEE,2332170934,tennessee
TEXAS,5107738628,texas
UTAH,840496474,utah
VERMONT,262829908,vermont
VIRGIN ISLANDS,7193847,virgin islands
VIRGINIA,1586696468,virginia
WASHINGTON,4467354898,washington
WEST VIRGINIA,118560523,west virginia
WISCONSIN,1957061379,wisconsin
WYOMING,42262426,wyoming
