city,funding
San Diego,781382
San Diego,285407
Houston,313705
Houston,295931
New York,448750
New York,729983
New York,659105
New York,920449
New York,582077
New York,774538
New York,448750
New York,35e4
New York,59970
New York,445500
San Diego,3e5
San Diego,229600
Pittsburgh,145499
Pittsburgh,212552
Baltimore,259322
Boston,720069
New York,324050
Baltimore,25e4
Baltimore,424363
New York,623844
Philadelphia,491046
Philadelphia,315507
Philadelphia,431274
Philadelphia,196198
San Francisco,1294191
Pittsburgh,341528
Pittsburgh,240660
Pittsburgh,383586
Pittsburgh,1113043
San Diego,225e3
San Diego,222173
Seattle,390031
Seattle,1684332
Seattle,463580
Seattle,709690
Seattle,1562012
San Francisco,361734
San Diego,149950
Seattle,1152618
Seattle,378e3
Seattle,422908
Seattle,1e3
Seattle,2e6
Seattle,45e4
New York,6e4
Houston,559001
Boston,35e3
Philadelphia,74e3
Philadelphia,224999
Philadelphia,207685
Philadelphia,69443
Philadelphia,249978
Philadelphia,69443
Chicago,1030462
Chicago,125524
Chicago,429878
Chicago,327091
Chicago,1e4
New York,49903
New York,10805
New York,199823
San Diego,745405
San Diego,728595
Houston,64680
Houston,1254529
Houston,509989
San Diego,945014
New York,224912
Boston,1218307
Boston,1e6
San Diego,18926
San Diego,224576
San Diego,413730
San Diego,290577
San Diego,39574
San Diego,3e5
San Diego,15e5
Houston,227537
San Diego,805808
New York,387342
New York,410845
Houston,79250
Houston,43788
Houston,43332
Houston,48576
Houston,766883
Houston,408066
Houston,339817
Houston,396250
Houston,40978
Houston,407536
Houston,198125
Houston,598459
Houston,217938
Houston,383750
Houston,43576
Houston,408138
Houston,566196
Houston,380400
Houston,394261
Houston,218158
Houston,58002
Houston,287212
Houston,736033
Houston,414955
Houston,340642
Houston,147442
Houston,577036
Houston,321519
Houston,325599
Houston,568203
Houston,640488
Houston,461306
Houston,391250
Houston,170897
Houston,43788
Houston,297350
Houston,196974
Houston,316913
Houston,461061
Houston,1e3
Houston,427950
Houston,346719
Houston,318913
Houston,145381
Houston,198412
Houston,1109500
Houston,391250
Houston,547142
Houston,537250
Houston,356625
Houston,346719
Houston,237750
Houston,607971
Houston,140400
Houston,566179
Houston,346719
Houston,102827
Houston,340775
Houston,4861046
Houston,2270067
Houston,391250
Houston,240032
Houston,528719
Houston,206843
Houston,3565981
Houston,43788
Houston,426133
Houston,237827
Houston,391250
Houston,222296
Houston,665966
Houston,391250
Houston,342344
Houston,396250
Houston,1165855
Houston,173732
Houston,387365
Houston,297350
Houston,1054750
Houston,383314
Houston,172369
Houston,568555
Houston,1169804
Houston,146756
Houston,523735
Houston,1180154
Houston,63449
Houston,51562
Houston,413073
Houston,344819
Houston,172369
Houston,396250
Houston,693406
Houston,266162
Houston,305001
Houston,396250
Houston,94573
Houston,62010
Houston,129105
Houston,396250
Houston,324045
Houston,351310
Houston,1152619
Houston,362569
Houston,342344
Houston,45076
Houston,414955
Houston,396250
Houston,393250
Houston,170407
Houston,578693
Houston,393250
Houston,391250
Houston,276636
Houston,404611
Houston,45e3
Houston,193218
Houston,317025
Houston,320825
Houston,131760
Houston,127939
Houston,193960
Houston,171907
Houston,386375
Houston,641423
Houston,133e3
Houston,320825
Houston,396250
Houston,346719
Houston,902592
Houston,577174
Houston,374023
Houston,158500
Houston,178190
Houston,25892
Houston,296688
Houston,249e3
Houston,391068
Houston,158500
Houston,172369
Houston,40776
Houston,461061
Houston,362569
Houston,155633
Houston,396251
Houston,308109
Houston,158565
Houston,390791
Houston,324738
Houston,396250
Houston,67602
Houston,356313
Houston,396250
Houston,431329
Houston,198125
Houston,344094
Houston,43525
Houston,848418
Houston,269732
Houston,407803
Houston,110696
Houston,396250
Houston,206843
Houston,35676
Houston,340721
Houston,297350
Houston,1517586
Houston,123811
Houston,565491
Houston,69758
Houston,391250
Houston,44376
Houston,40579
Houston,198125
Houston,180360
Houston,165e4
Houston,301150
Houston,994066
Houston,462191
Houston,343997
Houston,248167
Houston,3145948
Houston,396250
Houston,535409
Houston,237750
Houston,56865
Houston,105938
Houston,242168
Houston,1298463
Houston,2325358
Houston,1187386
Houston,242488
Houston,130333
Houston,198469
Houston,224999
Houston,597732
Houston,830544
Houston,988088
Houston,300703
Houston,43788
Houston,516953
Houston,352125
Houston,146518
Houston,424342
Houston,332563
Houston,301263
Houston,81552
Houston,25e3
Houston,158500
Houston,181834
Houston,313e3
Houston,305113
Houston,342344
Houston,474692
Houston,340794
Houston,367325
Houston,156500
Houston,396943
Houston,540275
Houston,916062
Houston,643418
Houston,153185
