FUNDING,name,State
149623,aging,Others
448750,hiv,NEW YORK
729983,hiv,NEW YORK
659105,hiv,NEW YORK
920449,hiv,NEW YORK
774538,hiv,NEW YORK
445500,hiv,NEW YORK
809592,immune,Others
3e5,breast,CALIFORNIA
843368,tumor,Others
259322,hiv,MARYLAND
225795,tumor,ILLINOIS
324985,breast,Others
273508,stress,PENNSYLVANIA
832259,lung,PENNSYLVANIA
223673,stress,PENNSYLVANIA
808204,hiv,PENNSYLVANIA
222192,aging,CALIFORNIA
63490,breast,MASSACHUSETTS
3e5,breast,MASSACHUSETTS
720069,aging,MASSACHUSETTS
129943,hiv,MARYLAND
6110413,hiv,MARYLAND
23078,hiv,MARYLAND
445044,hiv,MARYLAND
3895683,hiv,MARYLAND
5072696,hiv,MARYLAND
245514,hiv,MARYLAND
3179009,hiv,MARYLAND
127190,hiv,MARYLAND
3272890,hiv,MARYLAND
1880590,hiv,MARYLAND
719955,aging,Others
3e5,aging,MASSACHUSETTS
3e5,aging,MASSACHUSETTS
197500,hiv,NEW YORK
300200,stress,NEW YORK
483470,diabetes,NEW YORK
185824,hiv,NEW YORK
181613,breast,NEW YORK
396625,tumor,NEW YORK
103540,hiv,NEW YORK
417500,diabetes,NEW YORK
130545,aging,NEW YORK
199967,lung,NEW YORK
71810,diabetes,NEW YORK
570321,hiv,NEW YORK
32066,diabetes,NEW YORK
459250,aging,NEW YORK
2098818,diabetes,NEW YORK
836865,hiv,NEW YORK
184371,hiv,NEW YORK
375750,brain,NEW YORK
575524,hiv,NEW YORK
390126,aging,NEW YORK
184726,hiv,NEW YORK
442325,lung,NEW YORK
2087500,brain,NEW YORK
427097,aging,NEW YORK
3530637,hiv,NEW YORK
43576,hiv,NEW YORK
642481,hiv,NEW YORK
614813,hiv,NEW YORK
154782,hiv,NEW YORK
538729,hiv,NEW YORK
201880,hiv,NEW YORK
525152,aging,NEW YORK
250500,hiv,NEW YORK
434127,aging,NEW YORK
717387,hiv,NEW YORK
83500,hiv,NEW YORK
2536088,aging,NEW YORK
1970926,aging,NEW YORK
346525,tumor,NEW YORK
167e3,hiv,NEW YORK
442550,tumor,NEW YORK
40194,diabetes,NEW YORK
354040,breast,NEW YORK
181613,lung,NEW YORK
848351,hiv,NEW YORK
700211,lung,NEW YORK
342350,immune,NEW YORK
45076,tumor,NEW YORK
841929,hiv,NEW YORK
829412,diabetes,NEW YORK
456358,hiv,NEW YORK
503981,aging,NEW YORK
129927,brain,NEW YORK
749982,aging,NEW YORK
289327,hiv,NEW YORK
48576,tumor,NEW YORK
48576,tumor,NEW YORK
2744971,aging,NEW YORK
649734,hiv,NEW YORK
382013,tumor,NEW YORK
124200,aging,NEW YORK
625065,diabetes,NEW YORK
710090,hiv,NEW YORK
666393,aging,NEW YORK
346525,tumor,NEW YORK
375750,brain,NEW YORK
317300,hiv,NEW YORK
175941,hiv,NEW YORK
239441,hiv,NEW YORK
250500,immune,NEW YORK
317300,aging,NEW YORK
